readlen	start	end	fl	stranded	orig_strand	orig_adapter_config	adapter_config	lab	read_id
715	32	747	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	91401c75-3344-407f-96b7-599bbcf9fdfa_0
451	40	491	False	True	-	adapter2_r	adapter2_f	single_adapter2	91831ff4-44af-4f53-af5e-16216dcf4ec5_0
1284	30	1314	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	91cee80e-086a-4da9-b943-9dc31f2df9d2_0
111	40	151	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	921046a0-320d-4ede-bbf4-292811c81a5b_0
213	32	245	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9296fd8b-bddb-4479-a3aa-328ebdf8dcdd_0
285	33	318	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	934d8a20-fde3-4beb-b46c-78a9f0f29a97_0
147	63	210	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	935bf99a-f310-44d4-bfed-b3fc7fd52d0f_0
1421	37	1458	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	93e2cdd3-be20-4e06-b54d-afea63e130a2_0
1418	34	1452	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	93e684f3-f52b-4574-b0d6-d03d928b23f0_0
531	42	573	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	93f3ef1a-4738-4d61-9763-7ddaabc08862_0
203	32	235	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	93f520e1-458b-4eb1-aab2-241668149e79_0
116	48	164	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	940c18c3-8e51-484b-863b-7f302e109397_0
594	32	626	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9440eec9-efb9-4e29-9150-837a66024871_0
857	36	893	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	94f57bec-4703-4369-a64e-bd3bd0bd58e1_0
168	31	199	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	94feefb2-d315-4218-8596-b8950a9f1d35_0
227	37	264	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	95e82f64-7caa-4adc-aea1-2231699a6ab3_0
502	35	537	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9692c279-e2de-4166-af62-c7488d7aff8b_0
559	32	591	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	96936df3-7301-48f2-b88d-9e3bd96f0d38_0
243	28	271	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	969acabf-1dda-4163-9ab3-5165c29d08f9_0
646	35	681	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	969d9cd7-7a52-4817-b4c8-59e25dfa2599_0
744	33	777	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	96a6e1b2-4591-4b83-b1eb-f2267221ad89_0
662	31	693	True	True	+	adapter1_f-adapter2_f-adapter2_r	adapter1_f-adapter2_f	full_len	96b58033-a264-4680-b8e2-58d5919d4e19_0
856	0	856	False	True	-	adapter1_r	adapter1_f	single_adapter1	972fcf13-107c-4c1c-91d3-38378b29ea7a_0
628	38	666	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	97bb3848-ad02-4044-bcec-4aaf5d02a157_0
911	41	952	False	True	-	adapter2_r	adapter2_f	single_adapter2	97cf486c-a94b-4ce0-86bc-5e83ec3ce551_0
634	31	665	True	True	-	adapter2_f-adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	981edb64-15ae-4875-8165-7e0afec70f9f_0
91	39	130	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9873ecd7-d2d1-4280-9db2-8e83a2d6beae_0
574	30	604	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	988aab6f-d365-46e6-8082-4ae877dcc1a3_0
649	33	682	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	989d3dbb-12fb-4684-8c12-ca9617480846_0
768	33	801	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	98b67acb-ef30-4f0a-8cc0-dcd177e26c78_0
925	32	957	False	True	-	adapter2_r	adapter2_f	single_adapter2	98bf2409-e2e5-43d9-9464-98661df9ae9f_0
247	36	283	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	98e865e5-73a3-473e-a2a2-cdba87cff299_0
116	0	116	False	True	-	adapter1_r	adapter1_f	single_adapter1	991165e6-f61d-4cf2-8830-7c1e97ea4beb_0
102	35	137	False	True	-	adapter2_r	adapter2_f	single_adapter2	996f723a-b4b0-4337-a32b-6ce125ff1560_0
243	3	246	False	True	-	adapter2_r	adapter2_f	single_adapter2	997397dc-b302-4f13-8c0f-5290d949d304_0
340	36	376	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	99d817ec-6280-4de1-a097-fb80311ee361_0
710	43	753	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	99decf45-f74d-463f-b4ec-b685fac88bf6_0
244	63	307	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	99f1d99d-b022-44bb-80f3-d7eb18f04c7e_0
1063	40	1103	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	99ff0475-9b38-4744-a268-bb8e9ab751a9_0
564	0	564	False	True	+	adapter2_f	adapter2_f	single_adapter2	9a1c11b9-91d7-46c5-ae01-8d700b88445d_0
989	37	1026	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9a31cf2d-66a9-4114-8432-83e329ab90b2_0
372	57	429	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9a4e1344-45fb-4463-b76c-d517aa3e238c_0
130	35	165	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9a87757e-3256-4481-ae63-eab50db40dd2_0
739	38	777	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	9a9c3d01-4ef3-465e-b3ff-d91bbb4cb831_0
210	36	246	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9a9de7dd-20f4-4963-aad5-893461f5d7fe_0
528	38	566	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9acee354-3589-4699-bb00-ffe3675bd0f0_0
86	55	141	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9adb1ef1-1143-4c09-8bd8-0bdd404db233_0
687	26	713	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9b1af406-976e-4616-b4ee-199a1365ad6b_0
548	0	548	False	True	+	adapter2_f	adapter2_f	single_adapter2	9b71cba1-a6de-4477-8778-05aa98dbd40f_0
658	32	690	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	9c93d365-226c-4ec0-9884-486a580164a4_0
231	35	266	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9d14c29d-f3b5-4c8a-8bdd-28ac5f1f2822_0
279	62	341	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9e4f5b98-9147-4b9e-919e-fa1fa4fe2e29_0
940	28	968	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9ec589e3-f9e6-45aa-a998-fdc33b537030_0
861	45	906	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9f3c533e-09ef-4ac5-bc0f-c651593ae8ff_0
110	33	143	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9fac60f9-3419-48e8-916a-9ddb911a0101_0
1598	37	1635	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9fb08a23-a045-40be-a9ff-4596948160df_0
111	19	130	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	9fc9cee0-bf0d-44ae-8998-95989ff9018a_0
172	28	200	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	a0609236-9729-4b1a-a043-d72b58510c6b_0
96	38	134	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	a110b4a2-7e71-4333-85c9-b22af27d3361_0
375	37	412	True	True	+	adapter1_f-adapter2_f	adapter1_f-adapter2_f	full_len	a14ac405-64a3-43a1-8de0-d8fe609e028c_0
179	0	179	False	True	+	adapter2_f	adapter2_f	single_adapter2	a1762a3a-7cfb-4e53-8a8f-1c39a8627c1a_0
582	35	617	True	True	-	adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	a1e0e239-f066-433d-835b-cd0f56551a9e_0
288	33	321	False	True	-	adapter2_r	adapter2_f	single_adapter2	a267caab-7db9-4ba1-8b84-b875331571e2_0
505	41	546	True	True	+	adapter1_f-adapter2_f-adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	a294ebb0-1b6b-46f9-827e-d122a516ea16_0
493	580	1073	True	True	-	adapter1_f-adapter2_f-adapter2_r-adapter1_r	adapter1_f-adapter2_f	full_len	a294ebb0-1b6b-46f9-827e-d122a516ea16_1
